pdf_filename,profile,heuristic_score,profile_group,quality_tier,resource_class,status,runtime_seconds,pipeline,pdf_backend,ocr_engine,psm,do_cell_matching,table_count,tables_with_rows,total_rows,total_columns_sum,max_columns,max_rows,empty_cell_ratio,single_column_table_count,very_small_table_count,inspection_path,run_dir
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_easyocr_force_ocr_scale3,336.6226,ocr,heavy,extreme,success,39.171,standard,,easyocr,,True,10,10,74,60,8,22,0.0509,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_easyocr_force_ocr_scale3/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_easyocr_force_ocr_scale3
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,extreme_doclingparse_tesseract_force_psm6_scale3_cellmatch_true_cuda,336.5797,heavy_quality,extreme,extreme,success,47.752,standard,docling_parse,tesseract,6.0,True,10,10,74,60,8,22,0.0509,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/extreme_doclingparse_tesseract_force_psm6_scale3_cellmatch_true_cuda/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/extreme_doclingparse_tesseract_force_psm6_scale3_cellmatch_true_cuda
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_rapidocr_ocr_not_forced,336.571,ocr,heavy,high,success,49.493,standard,,rapidocr,,True,10,10,74,60,8,22,0.0509,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_rapidocr_ocr_not_forced/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_rapidocr_ocr_not_forced
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_rapidocr_force_ocr,336.5698,ocr,heavy,high,success,49.745,standard,,rapidocr,,True,10,10,74,60,8,22,0.0509,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_rapidocr_force_ocr/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_rapidocr_force_ocr
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_cuda_accurate_pypdfium2,336.4944,gpu_performance,heavy,high,success,16.319,standard,pypdfium2,,,True,10,10,73,60,8,22,0.0464,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_cuda_accurate_pypdfium2/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_cuda_accurate_pypdfium2
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_accurate_no_ocr_pypdfium2_cellmatch_true,336.4887,native_text,strong,high,success,17.467,standard,pypdfium2,,,True,10,10,73,60,8,22,0.0464,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_pypdfium2_cellmatch_true/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_pypdfium2_cellmatch_true
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_accurate_no_ocr_pypdfium2_scale3,336.4508,native_text,heavy,extreme,success,25.041,standard,pypdfium2,,,True,10,10,73,60,8,22,0.0464,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_pypdfium2_scale3/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_pypdfium2_scale3
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,extreme_pypdfium2_tesseract_force_psm11_scale3_cellmatch_true_cuda,336.3683,heavy_quality,extreme,extreme,success,41.544,standard,pypdfium2,tesseract,11.0,True,10,10,73,60,8,22,0.0464,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/extreme_pypdfium2_tesseract_force_psm11_scale3_cellmatch_true_cuda/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/extreme_pypdfium2_tesseract_force_psm11_scale3_cellmatch_true_cuda
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,vlm_smoldocling_cuda,249.125,vlm,extreme,extreme,success,481.78,vlm,,,,True,6,6,53,34,9,22,0.065,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/vlm_smoldocling_cuda/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/vlm_smoldocling_cuda
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,vlm_granite_docling_cuda_scale3,245.2,vlm,extreme,extreme,success,855.372,vlm,,,,True,8,8,34,27,7,9,0.0,3,3,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/vlm_granite_docling_cuda_scale3/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/vlm_granite_docling_cuda_scale3
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,vlm_granite_docling_cuda,230.204,vlm,extreme,extreme,success,856.983,vlm,,,,True,6,6,32,27,7,9,0.0056,1,1,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/vlm_granite_docling_cuda/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/vlm_granite_docling_cuda
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_accurate_no_ocr_threaded_doclingparse_cellmatch_false,99.9655,native_text,strong,high,success,6.892,standard,threaded_docling_parse,,,False,0,0,0,0,0,0,0.0,0,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_threaded_doclingparse_cellmatch_false/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_threaded_doclingparse_cellmatch_false
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_accurate_no_ocr_threaded_doclingparse_cellmatch_true,99.9616,native_text,strong,high,success,7.689,standard,threaded_docling_parse,,,True,0,0,0,0,0,0,0.0,0,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_threaded_doclingparse_cellmatch_true/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_threaded_doclingparse_cellmatch_true
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_rapidocr_torch_cuda_force_ocr,0.0,ocr,heavy,high,failure,0.103,standard,,rapidocr,,True,0,0,0,0,0,0,0.0,0,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_rapidocr_torch_cuda_force_ocr/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_rapidocr_torch_cuda_force_ocr
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,vlm_qwen_cuda_if_available,0.0,vlm,extreme,extreme,skipped,0.002,vlm,,,,True,0,0,0,0,0,0,0.0,0,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/vlm_qwen_cuda_if_available/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/vlm_qwen_cuda_if_available
